"Id","SalePrice"
1461,113457.503264715
1462,165325.401681234
1463,157177.041113271
1464,179836.887801087
1465,227017.198180542
1466,175767.237967173
1467,169893.53664955
1468,167762.678358098
1469,206820.810906039
1470,100004.227400535
1471,209242.92597334
1472,119727.633505331
1473,102629.898072948
1474,170458.838235528
1475,150460.898602532
1476,326261.266892908
1477,267979.421390998
1478,301934.571291517
1479,286881.753664136
1480,387706.731740509
1481,301367.031671965
1482,233755.552701954
1483,181295.441317829
1484,191314.905699131
1485,177563.555676239
1486,206006.656196342
1487,312802.230932328
1488,272181.066541259
1489,200803.654378831
1490,194163.244576826
1491,203045.196346522
1492,113432.689220744
1493,188184.190216155
1494,290121.185007725
1495,289573.619307638
1496,219389.668794624
1497,205900.016238815
1498,174970.922428887
1499,174970.922428887
1500,152526.306919733
1501,169351.628446267
1502,167556.431332749
1503,263276.184882862
1504,242007.20825322
1505,221114.221135262
1506,222683.43597131
1507,233829.672157029
1508,206777.818003238
1509,176048.963747413
1510,150997.877738941
1511,149407.082764872
1512,173299.283716043
1513,180075.081321128
1514,153327.148988403
1515,208138.782127523
1516,175295.008677739
1517,148383.023578699
1518,181621.215171016
1519,220545.760744527
1520,126627.586976776
1521,131648.315463686
1522,193403.872022657
1523,99227.162665464
1524,115688.806971423
1525,113122.969137532
1526,113739.940918101
1527,100499.712960183
1528,142045.415324657
1529,146418.018788595
1530,187039.749949194
1531,121365.553052696
1532,90997.0915544092
1533,161003.827978964
1534,142974.519384202
1535,142565.758780986
1536,126914.584483111
1537,48313.295181697
1538,208968.574423287
1539,247314.109874194
1540,147725.483288702
1541,171236.419591185
1542,142669.159868321
1543,213956.466925821
1544,71190.4061701784
1545,130051.602747596
1546,154396.294194644
1547,129315.226083565
1548,149545.494883909
1549,119994.985514187
1550,153135.284811038
1551,145774.763138093
1552,147526.609688626
1553,136352.849830498
1554,139312.501665053
1555,163217.736915573
1556,112366.436882316
1557,120480.291725011
1558,120440.839091441
1559,102362.178134646
1560,157208.414469164
1561,137514.8645859
1562,107882.75893511
1563,104231.817498087
1564,162359.472648402
1565,141595.538053215
1566,220341.716477562
1567,86415.1338115125
1568,203703.886629523
1569,96277.3533649717
1570,137660.316288951
1571,108663.104694223
1572,129818.382612264
1573,221997.479795865
1574,155240.587425455
1575,215405.799134563
1576,226886.657829337
1577,200162.952667401
1578,166039.290265213
1579,129077.724375572
1580,206751.212486487
1581,117419.737583118
1582,122886.848115913
1583,301853.082857593
1584,231602.372444555
1585,143677.807862262
1586,22372.3869292214
1587,100013.496571204
1588,131237.254207886
1589,105189.939184055
1590,145468.572278848
1591,68888.8417545337
1592,133306.89688828
